,team,opponent,wins,losses,avg_rushing_yards,avg_passing_yards,avg_rush_def_yards,avg_pass_def_yards,opponent_avg_rushing_yards,opponent_avg_passing_yards,opponent_avg_rush_def_yards,opponent_avg_pass_def_yards
196,Patriots,Steelers,2,5,6.521,16.921,6.584,16.406,6.415,16.214,6.535,16.52
197,Patriots,Falcons,0,3,6.521,16.921,6.584,16.406,6.511,16.275,6.806,16.462
198,Patriots,Buccaneers,1,1,6.521,16.921,6.584,16.406,6.327,16.488,6.39,15.924
199,Patriots,Saints,2,1,6.521,16.921,6.584,16.406,6.74,16.41,6.557,16.957
200,Patriots,Broncos,1,2,6.521,16.921,6.584,16.406,6.592,16.505,6.269,16.229
201,Patriots,Vikings,2,2,6.521,16.921,6.584,16.406,6.801,16.148,6.571,16.397
202,Patriots,NaN,0,0,6.521,16.921,6.584,16.406,,,,
203,Patriots,AFC Pro Bowl,0,0,6.521,16.921,6.584,16.406,,,,
204,Patriots,NFC Pro Bowl,0,0,6.521,16.921,6.584,16.406,,,,
205,Bears,Cowboys,2,2,6.456,15.743,6.689,16.482,7.215,16.457,6.78,16.594
206,Bears,Panthers,1,5,6.456,15.743,6.689,16.482,6.598,16.896,6.829,15.842
207,Bears,Bills,4,2,6.456,15.743,6.689,16.482,6.526,16.119,6.915,16.03
208,Bears,Dolphins,3,2,6.456,15.743,6.689,16.482,6.552,15.948,6.767,17.25
209,Bears,Ravens,3,1,6.456,15.743,6.689,16.482,6.848,15.508,6.167,16.426
210,Bears,Patriots,1,1,6.456,15.743,6.689,16.482,6.521,16.921,6.584,16.406
211,Bears,Browns,5,3,6.456,15.743,6.689,16.482,7.219,16.854,6.797,16.493
212,Bears,Packers,20,2,6.456,15.743,6.689,16.482,6.951,17.113,6.836,17.409
213,Bears,Giants,6,6,6.456,15.743,6.689,16.482,6.452,15.906,6.589,16.765
214,Bears,Bengals,2,5,6.456,15.743,6.689,16.482,6.31,16.733,6.914,16.419
215,Bears,Chiefs,3,5,6.456,15.743,6.689,16.482,6.684,17.701,6.98,16.736
216,Bears,Jets,2,2,6.456,15.743,6.689,16.482,6.497,16.567,6.126,16.663
217,Bears,Rams,6,4,6.456,15.743,6.689,16.482,6.571,17.061,6.548,16.586
